"year" "AL" "AK" "AZ" "AR" "CA" "CO" "CT" "FL" "GA" "HI" "ID" "IL" "IN" "IA" "KS" "KY" "ME" "MD" "MA" "MI" "MN" "MO" "MT" "NE" "NV" "NH" "NM" "NY" "NC" "ND" "OH" "OK" "OR" "PA" "RI" "SC" "SD" "TN" "TX" "UT" "VT" "VA" "WA" "WV" "WI" "WY"
1960 11.1143565235499 8.04558828080353 10.3787585348883 9.27528506061656 12.1426268604723 9.25301664625662 8.42595471098197 8.00302866638473 10.1190020766858 5.67675380226828 11.1024427899003 7.59387784460512 6.98378996525813 9.15704507491796 5.35185813347607 10.2517824820293 10.3289840199492 9.58939305613251 9.26577507886428 9.99145264126477 9.16345838607605 8.96277604612029 11.0415609100852 9.24154829910038 9.96005690402402 9.6006918422743 6.61338421837956 11.7756819601975 10.8926941176773 9.3419824810279 5.34710753071747 8.93353229607628 11.8065945792661 9.88562903423482 4.53259949315326 10.5674376154388 9.42843117965374 11.4441325734859 9.38084235196479 8.09407314806935 9.1480393457788 9.52032195192273 12.8201657961803 9.21999362900432 10.1586722593951 8.78752562553291
1961 11.1823498092948 8.06085575293432 10.3496466469718 9.60602446822924 12.0056074844999 9.09380655572023 8.27052509505507 7.93951526066241 10.101313295866 5.55295958492162 10.995243053741 7.650168700845 7.03614849375054 9.16429643347478 5.14166355650266 10.2076210550547 10.2303061999863 9.40360186880847 9.06693178868083 9.85419226081125 8.96852355539635 9.4881993554792 11.1448717418602 9.1986725671085 9.8318304207719 9.44651860156085 6.31535800152233 12.1724072728586 10.8253825511301 9.61460475950783 5.39816270151775 9.2750038853019 11.7984502120682 9.67142938383234 4.44265125649032 10.448366716427 9.40590715552016 11.4422347243475 9.48364457648201 7.80751004221619 9.0142038261485 9.441610810502 12.8939057312664 9.31479047333265 9.97515683922649 8.81537000096066
1962 11.2848321839301 8.07309119969315 10.3372485297991 9.3234011642602 12.3929131431801 9.28023949935585 8.04302088529828 7.82604401351897 10.2051464919187 5.36597601502185 11.0534106354387 7.6004023345004 6.67959918584438 9.19319421314121 5.08759633523238 10.2851038586123 10.1916320180678 9.40294223817769 9.03025631012242 9.79790478996106 9.23004495525052 9.13744704645586 11.122516443016 9.23970498060609 9.9437653990347 9.57052913521471 6.51025834052315 12.3043511427908 10.9678361550002 9.52156805800298 5.19295685089021 8.95156964301882 11.853389722861 9.68265383150881 4.06044301054642 10.3852035731556 9.67124018697245 11.5301168427828 9.04144823549389 8.33038156934942 9.03967066792268 9.49807244317801 12.9422697369606 9.30301070681749 10.0241553122611 9.23970498060609
1963 11.1112232682226 8.13446757027756 10.3363732562203 8.55024104546244 12.4895621916126 9.29090601981575 7.97762509878459 7.92840602618053 10.3340679481227 5.48063892334199 11.0455902722788 7.52563997504154 6.29894924685594 8.98004631663313 5.15905529921453 10.1022974268349 10.3047103413862 9.2276890103108 8.91247327446604 9.57171425857138 9.08443695508703 8.28096440055337 11.0510645933069 9.27105910701089 9.8474461616525 9.51162944783418 6.12468339089421 12.220473454338 10.7306410129438 9.65162297294974 4.46590811865458 7.5999019592085 11.8701312679783 9.50450141052567 3.61091791264422 10.2409236102468 10.3252524280577 11.3015498985055 8.51899157335762 8.21365270303 8.8858559930003 9.12412867515712 13.021331258485 9.03598698483141 9.69603278610318 9.12815370098824
1964 11.4257431642831 8.12385426310591 10.3150009991785 8.67795057029435 12.3509865113192 9.31009520511317 7.94342776787637 8.01730750768858 10.7163714146984 7.09423484592476 11.0948765113512 7.52833176670725 6.15697898558556 8.88447171813916 4.9416424226093 10.1370565693339 10.1604526523258 9.36160116581677 8.85523562320697 9.69085110773981 9.1986725671085 8.11342663994365 11.1754086830014 9.2580823679616 9.73583783597404 9.39706887058834 4.59511985013459 12.1571764757423 11.0454945235234 9.88562903423482 4.62497281328427 8.07184314960916 11.9639119083799 9.5033084488572 3.71357206670431 10.7268512626277 10.3850491306156 11.4634095374983 8.46547875572956 8.98757175036705 8.84563325634019 9.10353436765837 13.106414873424 9.15503905619109 9.68215486062588 9.12118123565636
1965 11.2151526518083 8.20385137218388 10.7450547382143 9.33176122718052 12.6731093778868 9.19013766465866 7.58018941794454 8.04494704961772 10.4284527398558 6.99668148817654 11.1478870732702 7.51043055637801 6.88653164253051 9.1796749576653 4.9416424226093 10.1565781802183 9.98160533180008 9.38639231575654 8.84476882752969 9.84977027003014 9.34312148321 9.03443816698441 11.3815859541311 9.36417671669105 9.72124599254234 9.30592324186991 6.10479323241498 12.2289685230071 10.9383432365125 10.1698821458447 4.70953020131233 9.06207235530708 12.058506076132 9.53878043690013 2.89037175789616 10.5121111680254 10.6085386000989 11.4237007312218 8.95815413520924 9.16377273615985 8.91784674252718 9.13064760306693 13.1524657212208 9.06612352121577 10.0112651447096 9.13162178726478
1966 11.1862946423799 8.09955428237636 10.9037517181865 9.71281119135942 12.5181314270215 9.24936875894366 7.87511928104029 8.01367414283268 10.4571427542775 7.0604763659998 11.1719832528776 7.49776170062257 6.89770494312864 9.1084183822508 4.92725368515721 10.1930927745498 10.1348770127042 9.53002970306294 9.0321701863047 9.84977027003014 9.42124938562205 8.73375513136489 11.3229144196919 9.40153907670774 9.83921566251599 9.45571497213171 6.55961523749324 12.3452083048745 10.7277726386143 9.90787790083742 4.61512051684126 8.58204416373585 12.0675746540325 9.61760386202573 3.04452243772342 10.2105309784665 10.8297286152635 11.2834368260962 9.01127949117793 9.01614864261174 9.07680897935166 8.98130449495713 13.2179171638978 8.98582087448204 9.96979014179019 9.17035136375982
1967 11.4651417941164 8.23906533176927 10.8636611895602 9.45837163879817 12.8158572387093 9.1783335758411 8.32069157104845 8.00101996132365 10.562172679541 7.03085747611612 11.1837545090105 7.53583046279837 8.49453850085143 9.0370578398329 4.57471097850338 10.560048546528 10.19249374795 9.90648306151593 9.02845871841061 9.93085949933198 9.10497985631836 8.80851861878282 11.4165246906839 9.4038491181607 9.80217439083564 9.43691802002467 5.90536184805457 12.4071546200419 10.8691777867051 10.2717698695166 4.66343909411207 8.93221251232921 12.1352262716542 9.90193635004339 4.00733318523247 10.2287543853152 10.8479186053546 11.5172859442472 8.70665585636156 9.32420462812523 9.04758612067476 9.03717675296699 13.3284616803565 9.30109473524465 9.9813740911932 9.01541977960571
1968 11.2483477526334 8.23774380389093 10.9905163441275 10.3496786505563 12.5516497354628 9.19156521664985 8.22335889947926 7.82843635915759 10.3961695720658 6.88653164253051 11.1583198071529 7.45645455517621 8.60226936377136 9.19938053173984 4.66343909411207 10.323184242891 10.2090218220192 9.72483924110847 9.00454545899659 9.8978215309095 9.25598272985488 9.53726719575386 11.4382665718566 9.47577683548064 9.80890211004626 9.43564159384419 6.10255859461357 12.4691251346552 10.8016957768595 10.1654286505582 4.46590811865458 9.67212279956284 12.2672241873234 9.41686661746695 3.89182029811063 10.2434536784116 10.9800587103274 11.2933754491661 9.53169897078735 9.26624800391448 9.0135952945165 9.00663173330058 13.4134840311534 9.2051268049233 10.1212566875129 9.20793748735987
1969 11.2709940213421 8.17807746384961 11.0580232334596 10.3127786654778 12.9533362566759 9.24667230122357 8.39818440483404 7.9592759601164 10.3907476782794 6.94985645500077 11.0914529187162 7.48493028328966 8.72745411689943 9.11007795003779 4.20469261939097 10.2390307863392 10.270662181356 9.56050416429926 9.12717613071541 9.89131375160442 9.25836834098676 9.61500515991358 11.4999617985784 9.46722812925455 9.7853794640558 9.61820260468407 6.50428817353665 12.5358978394296 10.854508159598 10.3321156486707 4.47733681447821 9.88842467485908 12.5826203123475 9.166388484447 3.66356164612965 10.3819862463277 11.102548312501 11.265937378846 9.49393911899033 9.36503376165266 9.15345250976914 8.905037290767 13.4668108698174 9.20492573927468 10.023135514802 9.34661799026873
