"year" "AL" "AK" "AZ" "AR" "CA" "CO" "CT" "DE" "FL" "GA" "HI" "ID" "IL" "IN" "IA" "KS" "KY" "LA" "ME" "MD" "MA" "MI" "MN" "MS" "MO" "MT" "NE" "NV" "NH" "NJ" "NM" "NY" "NC" "ND" "OH" "OK" "OR" "PA" "RI" "SC" "SD" "TN" "TX" "UT" "VT" "VA" "WA" "WV" "WI" "WY" "DC"
1960 12.3727135679305 10.7235096454307 11.7070603027164 11.9082459566863 14.4244567722645 11.9948144329214 12.800398991141 11.7299785067277 13.3247914368883 12.6181193804706 11.457021558025 11.2073645136312 13.9155142514353 13.3068259738695 12.5615243416062 12.4407375701915 12.212794999791 13.06973445462 11.9339686030417 12.775053019961 13.5975435850189 13.4779923745314 12.8520862889561 11.8683245954049 12.9084570314426 11.5806869118984 11.8215565661724 10.9068179943319 11.3313676164768 13.7710308404573 11.5812100857068 14.3462317458842 12.9460938699587 11.5301954761352 13.5889837900214 12.4499125423025 12.2674311156611 13.9299448818276 11.9423284293672 12.2981913744321 11.3645066598512 12.3385866457866 14.2592517023898 11.7566243014391 10.7506211137127 12.999865745484 12.7850848157905 11.7506501923619 12.8804726915654 11.2337140813863 11.0001646365697
1961 12.3571829939446 10.8397573667256 11.7504609537314 11.984671325649 14.4545145977055 12.0716265489773 12.809587745327 11.6761406520244 13.3607154900232 12.6075464657019 11.6396814563145 11.2606234062858 13.9160714739489 13.2942944731687 12.5320868152792 12.4444751840907 12.2073867816749 13.0766188705086 12.0338182444483 12.760793616227 13.621964643089 13.4813432629231 12.834694638197 11.8671534174659 12.9072227173587 11.6686377819501 11.838596723326 11.0378690920878 11.3888350797392 13.785019391206 11.5849949322125 14.4131177323118 12.9974869933311 11.4799786298214 13.555597985642 12.4617956749658 12.2947014637562 13.9121162618511 11.8273711746912 12.3117741030607 11.3749384464853 12.3741769477525 14.2723725884238 11.7499324729436 10.8298078200475 12.9706773245539 12.8024197869964 11.7911933628114 12.8763630897472 11.3068725334487 10.9355325969321
1962 12.3872685690366 10.8921361546 11.8187764780373 12.0235190618201 14.447381623282 12.122022334799 12.8450117615686 11.722213469994 13.4812147512004 12.7017501131239 11.5907379953383 11.3036231798445 13.9289106692918 13.3112235110379 12.5608723322727 12.4862050407526 12.3194281161927 13.11892948835 12.0061389006754 12.8207121895917 13.6460570515351 13.5135875632222 12.8774367890765 11.9557505818355 12.9494969793811 11.6963547413496 11.86040829054 11.1227528286804 11.4598938184184 13.8549966205247 11.6538258894634 14.4488090031301 13.0453872961551 11.5587779851523 13.6003587375296 12.5196673177925 12.3403937262689 13.9522208923948 11.8649897963513 12.3932407720417 11.4122428796042 12.4452666956631 14.3219624308112 11.8253830734034 10.8689112469605 12.9987415793011 12.8300787293326 11.8453107901057 12.9106467889577 11.4172182063405 10.9781315495634
1963 12.437878569923 10.922858201479 11.8795249968565 12.0632813693532 14.4666438881926 12.155515921913 12.8486683617418 11.7633572816419 13.5081576095367 12.7475768327206 11.642742467782 11.2808672962664 13.9557741136409 13.3309097057667 12.5823972638919 12.5043904574533 12.343148374567 13.2848512064185 12.0371805090479 12.8323719738322 13.6049981468612 13.5309848323382 12.8945740511702 12.0652749169136 12.9734317214151 11.7058736915054 11.9272379857098 11.1798693866301 11.5030569307716 13.8774923760202 11.6811565490055 14.4588775094022 13.0553642314109 11.6107506612857 13.6195625817756 12.5565323146016 12.3690627140245 13.976866361293 11.8510178170668 12.4105103278888 11.4593031447168 12.4816188756374 14.425352757084 11.8221072532602 10.8693871609623 13.0579144522529 12.8477001902998 11.7761124678187 12.926771761552 11.3679690546762 11.0105639196164
1964 12.4571348197755 10.9704371606954 11.9016444698497 12.126444851768 14.5231674615144 12.1843228236806 12.8737404665955 11.7432352771891 13.5555253612695 12.7947866580903 11.7122024624136 11.3397261735055 13.9700951436408 13.3389752436312 12.5840397930698 12.4806542807494 12.3709300885725 13.3644558583852 12.084345592452 12.8783255531656 13.6395833139086 13.54491631998 12.9035504354506 12.1079525215278 12.9882055028667 11.7229432490655 11.899982173395 11.2342692037258 11.4842275920227 13.8930205224885 11.7460668707608 14.4513749640106 13.0690512043467 11.6053040792049 13.663436886328 12.5666170932733 12.4261635422318 13.9930515393282 11.8136816969093 12.3530476416083 11.45820525277 12.5201458872079 14.490421463857 11.8256683748922 10.8115848093818 13.0800131323706 12.8820533211682 11.7805833855911 12.9263046968989 11.3566107787024 11.1587616512176
1965 12.47710309605 11.0301202438873 11.889840195539 12.0973230601243 14.5534111947114 12.1996520777273 12.8664719190553 11.8065796686923 13.6206604455502 12.8764756266095 11.7700761623848 11.3720298802654 14.0152061417959 13.3817925695272 12.5931429349145 12.5331184497537 12.4576637022126 13.3806686460518 12.0521227788719 12.9248534591964 13.7709900657589 13.5822762659399 12.9585188638257 12.0706136820483 13.0434478675379 11.6148591156276 11.853958712919 11.154963979506 11.4755143135721 13.8864078814973 11.7634662607413 14.5620155503284 13.1123473843954 11.5803878325 13.7304002818276 12.594717075908 12.4223849166914 14.0357755702574 11.7557226128682 12.3221252960445 11.4077982554277 12.58282272865 14.5064437895468 11.8653694711011 10.9841904206607 13.1493265809825 12.9137241282929 11.8289252786036 12.9301320809334 11.3695284236212 11.4331243947667
1966 12.5166371566102 11.0922147306465 11.9782870867512 12.1803085841435 14.613679696878 12.2673088450007 12.9303768650338 11.8197628964618 13.6458734127982 12.9338820883521 11.8789287641972 11.3850352736643 14.0278115404994 13.3999511736433 12.6710700143397 12.5422412646357 12.553700285764 13.4677443842552 12.1017171801956 12.9777745041196 13.7845811368537 13.6230307807096 13.0185372395421 12.1319954421339 13.0743636007963 11.6810973861597 11.9284201087156 11.1847407914311 11.594044516255 13.9583581695444 11.7502716792829 14.6134942168985 13.192066663154 11.6317390805078 13.7546771643565 12.6257989115239 12.4797610111906 14.0666411915782 11.7533115064794 12.4021245087724 11.4459519817171 12.6945882410961 14.5633523418965 11.9466734808064 11.0717969091311 13.1882410015431 12.9769120813055 11.8564300593556 12.9731577837922 11.3173484413738 11.4503583327014
1967 12.5331761321473 11.2432535646531 12.0315228105193 12.206332611736 14.6273150585493 12.3534101684242 13.0080181756195 11.7436958578465 13.6497794160082 13.0262752951123 11.9983040416317 11.5559753758407 14.0654214461879 13.3960448979198 12.7101183374128 12.5500204418261 12.5879961450553 13.5310193891602 12.173032791452 12.9311108580248 13.8570516538691 13.6478892215352 12.9786892925692 12.244836523581 13.1121008978378 11.6225419112936 11.9758100639459 11.23661845054 11.6268700320117 14.0408029987608 11.7440848038475 14.671923888783 13.2124874050667 11.6658010464908 13.7640698842959 12.6561095090097 12.4780368367399 14.0845379589664 11.9016580282525 12.4106814854031 11.4362171918856 12.715852722903 14.5952344377218 11.9289809630764 11.0625518991128 13.228532565998 13.011945651142 11.8551028249536 13.0371235212537 11.4631047699863 11.5364759621804
1968 12.6333742589142 11.2949186977612 12.1475321005162 12.3008417698995 14.6926782679132 12.434709083284 13.0938857105253 11.8106048968723 13.7283522610915 13.0997209617233 12.107053094507 11.6147326751087 14.1388628171343 13.4611073174665 12.7407632223977 12.6127536807659 12.6749819261949 13.6209459600645 12.2269335361975 12.9925826564943 13.8962579403732 13.7098611116811 13.0642171817509 12.3655775373765 13.2069655211876 11.7310243131397 12.0888756880964 11.3457013658554 11.6640143193331 14.0872629236717 11.8747799717837 14.6979909064206 13.2452515817054 11.713496155432 13.8393393829634 12.7310526221395 12.5462344957197 14.1358882552542 11.9149580219429 12.4962914976339 11.4910989910774 12.7959765120229 14.6711753180211 11.9913249997541 11.122161759715 13.279625212565 13.1198482170387 11.9057375265106 13.071404763847 11.5692679905083 11.5964666611746
1969 12.7290007380838 11.4300654591031 12.2129092227892 12.3762204013924 14.7151384323024 12.483723321343 13.1741718390704 11.8860670859485 13.79019274998 13.1629543052307 12.1501211501299 11.5710622888998 14.1744820627871 13.4747398963367 12.7619873070249 12.6289355308148 12.7414162324899 13.6978176432469 12.2831864527747 13.0500872648324 13.9421396846624 13.7555153005565 13.1199685120021 12.4421205760388 13.2387392011801 11.7686678531288 12.1162956295023 11.3781933517692 11.7740890088612 14.1326303088175 11.9000432862603 14.7439013874941 13.2848070040669 11.6921840021723 13.8668014023488 12.7547025952311 12.5891728465051 14.1862323809282 11.9903949055615 12.5370620215615 11.4903014613323 12.8567349914839 14.7515117560252 12.0444533112752 11.1528590622453 13.4008689744995 13.1548208869529 11.9224290740114 13.1033884874391 11.5996259603078 11.6966377209603
1970 12.7718692925407 11.4721451362486 12.2705252254749 12.4161147464247 14.7331240146521 12.5188557837293 13.2340067147385 11.9455711450401 13.8791245893929 13.2245137460493 12.1829012503017 11.5633618923521 14.2133970205489 13.5024313581432 12.7564516194273 12.6216761856113 12.7885703484987 13.714804747892 12.3501123816067 13.1786737651051 14.0310589388564 13.7704567050825 13.1471340357295 12.5166041695796 13.2564361234706 11.7455043630709 12.1667599281446 11.4124972101357 11.8486188269187 14.180409194459 11.9568994945065 14.7889745035689 13.3349312023464 11.6558389577285 13.8848108488597 12.8085563336928 12.5930037213352 14.2402153898701 12.0266109953021 12.6131298189628 11.5502308835789 12.8719822277691 14.7792190841676 12.0187305066793 11.2104816386445 13.5221604525196 13.1357335963425 11.9482082414876 13.1425110432071 11.5398789345305 11.7707409378157
1971 12.8079457402893 11.6055775697666 12.3069988441201 12.5028977923982 14.7924116056702 12.5694336876155 13.2074854708212 11.946433664103 13.970963532295 13.2990608151147 12.2568418025817 11.5845295908297 14.2162438218681 13.5533194784994 12.7896588341042 12.6326924077107 12.7979841250092 13.7387882483295 12.5489741699163 13.2843274529991 14.0397343256347 13.8075287882226 13.1766810936139 12.5747181554998 13.2792816524757 11.7994643842714 12.1835202410597 11.4724055081653 11.9126139203009 14.1648863276265 11.9653950168136 14.8253564759965 13.3806794590253 11.6908540534595 13.8850953875428 12.8208582045991 12.6485412670301 14.2591573781125 12.0663277030105 12.6544535546152 11.5768106477288 12.9064709728668 14.8029130349264 12.1005287797314 11.207391660987 13.6072974901884 13.1624279651645 11.9882088815762 13.1490442559857 11.5908767563874 11.7065907707981
1972 12.9123532044801 11.6778125880826 12.4727162022902 12.6488881290564 14.8218313726143 12.6484898698293 13.3131589282777 12.068596339098 14.0995128683885 13.3904649978772 12.2857937630376 11.6443220805789 14.3128186299031 13.6218566317416 12.8330586558359 12.7166602409697 12.8702800821924 13.860328079724 12.6252861432544 13.386208083938 14.08356781731 13.8877586587719 13.2761774291501 12.7096319333041 13.3247718348105 11.8937699578961 12.2622072020737 11.5439007392695 11.9396039694776 14.2550092312562 12.0663737011706 14.8618820859965 13.4714937323709 11.6968291029468 13.9570960540456 12.8871776087673 12.7375916762009 14.3167639134025 12.0639905135957 12.7131733403543 11.6229719841438 13.0046783369463 14.9173303637118 12.1359666547557 11.2570779204829 13.6657301479147 13.2284246474764 12.0489625910703 13.1850226338296 11.6218964550143 11.6649939785932
1973 13.0185882709875 11.6274766170459 12.6942783571773 12.7739456769752 14.9305629642789 12.7000277591401 13.349071767125 12.1789634904516 14.1745058079098 13.4868523124407 12.3140971097242 11.677922820631 14.3517343014895 13.667324885388 12.8896516971885 12.7744895894187 12.9435213599859 13.9959111041316 12.5925384036286 13.4521619661214 14.0855209011432 13.9313557171504 13.3091665434354 12.8234235064025 13.3569832234093 11.9610923996068 12.2749501770324 11.6143803636256 11.9218578883207 14.27236815554 12.1649381021716 14.8894479088858 13.4975053512436 11.7025039597121 14.0056101208248 12.9360337992128 12.7487282768051 14.3198214065914 12.0190379995597 12.7992033389747 11.6143351865087 13.0938815949687 15.0128861484515 12.1572814813602 11.276354670342 13.692659074399 13.258359978903 12.0919404374852 13.2190090287059 11.7112597968958 11.7154662289456
1974 13.0739795306768 11.6741340363236 12.6940236281938 12.7780855563163 14.8712122140922 12.6857140567908 13.2606529320006 12.1543529444547 14.11354708752 13.4512324977363 12.2576683941738 11.6974446053077 14.3138343585873 13.65518099476 12.8413947194717 12.7788302714125 12.922650667372 14.0502782859945 12.4634243681741 13.4176549242294 13.9653003142002 13.8944280173988 13.2633419706639 12.8455051815463 13.3226901955656 11.9731375632534 12.2558194947876 11.5999468419099 11.8425816679786 14.1628845821368 12.1723141870644 14.7947967460635 13.4377958217563 11.6750953335533 13.9838869986984 12.9203181821945 12.6711924935066 14.2873662211359 11.9046837286882 12.7767018482668 11.5368079934335 13.0613854431804 15.0181023090751 12.2051221939942 11.1555502759171 13.6571371415881 13.1977657971135 12.1075884338118 13.175502167816 11.7329441389369 11.4965826456301
1975 13.098023552577 11.7210203509829 12.6339350510804 12.7411205273848 14.9068471091967 12.6966751536071 13.1870137672844 12.0700982712545 14.1363672179173 13.3937315996935 12.2687234485485 11.740403608352 14.3005628854115 13.6111077958859 12.8328663255401 12.8594545646974 12.9389259983122 14.0067166963842 12.3113421570472 13.2942035290168 13.9330233348818 13.8893983630259 13.2302666574948 12.8427949666627 13.326831218213 11.9491525347284 12.2474544833089 11.6606900829555 11.8314010140326 14.054380991016 12.2046115786917 14.7617638940361 13.3640711424383 11.6692281133656 13.9984577523395 12.9526112927739 12.6334460056872 14.2005695367055 11.8268452971209 12.7292763438626 11.5480512669456 13.1079378276805 14.9898834762047 12.2255860153092 11.1417748232767 13.6225227180845 13.2156770199995 12.1976926310846 13.170198800239 11.7733802151675 11.2379621649262
1976 13.1863723833735 11.8579042750281 12.6358920976402 12.8484737503722 14.9930883589547 12.751163454849 13.2277714919293 12.1318931323559 14.2058803022071 13.497655147816 12.2941934069253 11.7782162123371 14.3307976147212 13.68550892839 12.9274986833378 12.9062972221341 13.0100230035566 14.1408156737435 12.4623917517148 13.3169806971923 14.0108807761379 13.9497774300575 13.303604350578 12.9503073493082 13.3762316529506 12.0256053684964 12.3450342677346 11.6576489913489 11.9834039814392 14.1150268292395 12.219432997232 14.82573525036 13.4685454633487 11.6660756444639 14.0684528827246 12.9938252121311 12.651850818676 14.3001835638507 11.852678029713 12.8657819599991 11.5466309974354 13.2207252596608 15.067430313913 12.2415459613372 11.2771145199283 13.6609107773063 13.232868437173 12.2852026291055 13.2539230775201 11.8451601644711 11.247839500034
1977 13.2599507832748 11.9509481108608 12.7690883614404 12.9590653209365 15.1000692147416 12.7804813341307 13.2191452010821 12.1544898355528 14.2224259472395 13.5384149176407 12.354518512383 11.8126892586145 14.3550320875119 13.7232472317837 12.9440975848682 12.922606708537 13.0792825837169 14.2931456186216 12.4801792367039 13.3339589062355 13.9939612994763 13.9735607675898 13.2793380659627 13.0770542473991 13.411803902871 12.0073167822728 12.3522357955208 11.753531653035 11.9744810094259 14.1273621794032 12.2684040452663 14.8317841719092 13.5348438204064 11.6540603774339 14.1165273268478 13.0349519203934 12.7317770295246 14.3563657469319 11.872074346201 12.9449672706415 11.5595991051679 13.2754552111376 15.1773762029201 12.2640301844291 11.2647204830606 13.7113071503764 13.3056161671329 12.3697633881867 13.2759493263726 11.9401651110892 11.339761845961
1978 13.2672910846464 12.0047700838159 12.786664042018 12.9510695906194 15.11196718808 12.8352091656096 13.2419101900246 12.1085700641689 14.2735307973422 13.5346637385216 12.3708876869443 11.8751977147247 14.3941538829751 13.7433591320635 12.9379716793458 12.9569744510498 13.1197479601805 14.3362150248797 12.406651518595 13.3495913759955 13.9741522808011 14.010624936557 13.3069806304035 13.1460662320532 13.4515333026435 12.0572187462935 12.415717497973 11.9145231040519 11.9741847234006 14.1250930557944 12.2801081150556 14.8226948215047 13.5201766178346 11.7003589336504 14.1307460251131 13.0883887196082 12.7943203152643 14.354485058455 11.7919804307215 12.9404577341064 11.6124721128034 13.3215191077042 15.2421973013343 12.2867951221085 11.2674340499921 13.6859905375888 13.3402788862895 12.3243888723482 13.3150229786597 12.0430006219276 11.2902068233691
1979 13.1054064173538 11.7568985670945 12.7537748910588 12.7911584441522 15.1334214154663 12.7392212472504 13.1867981431595 12.1664114353723 14.3038838029413 13.5183759507383 12.4506371218333 11.8163578475132 14.3366670342353 13.6544376413094 12.9636935013752 12.9940730833394 13.1283096631533 14.4477148785754 12.3155143219108 13.3063518774095 13.8065222841858 13.8534390904578 13.2505015024721 13.021937333856 13.3988641716981 12.137601066718 12.3235267382019 11.8397801724965 11.8317791161101 14.091487137667 12.2780118390113 14.6835987929587 13.5092611748984 11.8225989440627 14.1436920929285 13.0526595389545 12.8048981575475 14.2991902421929 11.6582199009271 12.8792084270026 11.681452310742 13.2479205603614 15.3369839847995 12.2714623667941 11.1765292254612 13.6951480733881 13.3392135669953 12.3643149432607 13.2447809901312 12.0720611376688 10.9596445691677
1980 13.0182154595858 11.7700529645654 12.6160475691162 12.61133439963 15.062149671017 12.7006835178688 13.1270145439397 12.1286136804505 14.3170516132082 13.4481111693378 12.427807204681 11.6328661711804 14.1880942835024 13.5186774085042 12.7676978418231 12.8300706923949 13.0854234213461 14.4387222800846 12.1979396623 13.1864005228741 13.7213789833319 13.7178106249731 13.1199224006431 12.8555709229596 13.2374387506491 12.0061694332552 12.1535575524189 11.8993096852656 11.803062022707 14.03880849736 12.2145813436707 14.5744431382355 13.3990279798124 11.7512413323729 14.0821303701152 13.0019027602239 12.720075217448 14.1780208431343 11.5406962619156 12.7698056603286 11.5325712172171 13.1245509828497 15.3131439030333 12.2081554749343 11.0293096083046 13.5118088536574 13.296035972863 12.2919888396926 13.0714237046958 12.0647912994456 10.7727286047186
1981 13.0050000036776 11.8183565869818 12.5584533825459 12.5747976944506 14.9824367321049 12.6176457285892 12.9866765205779 11.8397441124204 14.3008128141585 13.3896294544882 12.3159265507753 11.4994044668654 14.0524789048881 13.4354412298005 12.704047044917 12.7239672252501 12.9797624088053 14.4316157741139 12.1790405484789 13.1157998847343 13.6522690145027 13.6146310629272 13.0180401014052 12.7731264172396 13.1908048969247 11.8772074022307 12.0814613502802 11.7804609509787 11.7187600771618 13.963725369618 12.2737359668903 14.4625321212945 13.3239024230141 11.7491826554298 14.0012039238156 12.9853929351647 12.7180156447996 14.0765370048759 11.4346936167007 12.7144041615937 11.4391066817666 13.1073674991578 15.2717476393219 12.0345307785464 10.9794962949944 13.3824311608228 13.3062337341881 12.232777865613 12.9946209108534 11.9842657005596 10.6054458013746
