"year" "petro" "price"
1960 632.6 1.63
1961 633.63 1.57
1962 636.06 1.52
1963 637.49 1.5
1964 638.65 1.45
1965 640.16 1.42
1966 642.72 1.36
1967 644.73 1.33
1968 648.4 1.32
1969 650.88 1.27
1970 652.81 1.21
1971 654.82 1.7
1972 658.51 1.82
1973 661.07 2.7
1974 659.25 11
1975 658.29 10.43
1976 661.7 11.6
1977 664.03 12.5
1978 665.14 12.79
1979 662.95 29.19
1980 658.07 35.52
1981 654.26 34
1982 652.68 32.38
1983 652.67 29.04
1984 654.59 28.2
1985 654.59 27.01
1986 656.45 13.53
1987 657.44 17.73
1988 659.43 14.24
1989 659.49 17.31
1990 658.16 22.26
1991 657.13 18.62
1992 658.3 18.44
1993 659.09 16.33
1994 660.07 15.53
1995 660.09 16.86
1996 661.58 20.29
1997 661.94 18.86
1998 662.95 12.28
1999 664.81 17.44
2000 664.93 27.6
2001 665.06 23.12
2002 664.87 24.36
2003 665.86 28.1
2004 667.76 36.05
2005 668 50.59
2006 667.33 61
2007 667.23 69.04
2008 664.16 94.1
2009 662.07 60.86
2010 662.59 77.38
2011 662.01 107.46
2012 660.76 109.45
2013 661.48 105.87
2014 662 96.29
