"year" "petro"
1960 632.6
1961 633.63
1962 636.06
1963 637.49
1964 638.65
1965 640.16
1966 642.72
1967 644.73
1968 648.4
1969 650.88
1970 652.81
1971 654.82
1972 658.51
1973 661.07
1974 659.25
1975 658.29
1976 661.7
1977 664.03
1978 665.14
1979 662.95
1980 658.07
1981 654.26
1982 652.68
1983 652.67
1984 654.59
1985 654.59
1986 656.45
1987 657.44
1988 659.43
1989 659.49
1990 658.16
1991 657.13
1992 658.3
1993 659.09
1994 660.07
1995 660.09
1996 661.58
1997 661.94
1998 662.95
1999 664.81
2000 664.93
2001 665.06
2002 664.87
2003 665.86
2004 667.76
2005 668
2006 667.33
2007 667.23
2008 664.16
2009 662.07
2010 662.59
2011 662.01
2012 660.76
2013 661.48
2014 662
